,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,Anloga,20,GH,1604813477,83,5.79,0.9,77.0,4.7
83,Kahului,1,US,1604813242,65,20.89,-156.47,80.6,12.75
84,Castro,2,BR,1604813223,66,-24.79,-50.01,57.4,3.91
85,Port Alfred,0,ZA,1604813477,63,-33.59,26.89,69.08,7.67
86,Udimskiy,88,RU,1604813477,83,61.14,45.91,35.53,17.63
87,Otradnoye,100,RU,1604813478,82,59.78,30.82,44.01,7.11
88,Saint George,90,US,1604813355,87,37.1,-113.58,44.01,4.7
89,Hobyo,92,SO,1604813478,66,5.35,48.53,83.46,12.68
90,Hobart,20,AU,1604813454,54,-42.88,147.33,64.0,17.22
91,Tuktoyaktuk,75,CA,1604813479,85,69.45,-133.04,24.8,14.99
92,Bengkulu,82,ID,1604813416,68,-3.8,102.27,85.03,9.13
93,Severnoye,100,RU,1604813480,76,56.35,78.36,40.1,15.55
94,Gobabis,1,NA,1604813480,20,-22.45,18.97,74.71,8.77
95,Avera,1,US,1604813480,88,33.19,-82.53,64.4,4.7
96,Talnakh,90,RU,1604813441,92,69.49,88.4,19.4,24.61
97,Vaini,20,TO,1604813481,74,-21.2,-175.2,78.8,8.05
98,Maceió,75,BR,1604813484,94,-9.67,-35.74,73.4,5.82
99,Tiksi,66,RU,1604813485,92,71.69,128.87,-5.84,2.06
100,Avarua,23,CK,1604813485,78,-21.21,-159.78,75.2,2.24
101,Te Anau,0,NZ,1604813485,47,-45.42,167.72,52.29,7.83
102,Arraial do Cabo,95,BR,1604813485,88,-22.97,-42.03,71.91,9.06
103,Humaitá,54,BR,1604813486,94,-7.51,-63.02,73.98,0.67
104,Salta,100,AR,1604813433,52,-24.79,-65.41,64.4,5.82
105,Ifanadiana,32,MG,1604813486,50,-21.3,47.63,80.24,4.23
106,La Asuncion,63,VE,1604813487,88,11.03,-63.86,80.6,12.75
107,Potsdam,48,DE,1604813487,100,52.4,13.07,36.0,2.24
108,Hauterive,90,FR,1604813487,71,46.09,3.45,59.0,8.05
109,Pāsighāt,0,IN,1604813487,37,28.07,95.33,81.43,3.4
110,Vardø,58,NO,1604813487,73,70.37,31.11,39.69,40.02
111,Saint Paul Harbor,90,US,1604813488,81,57.79,-152.41,48.2,12.75
112,Leeuwarden,0,NL,1604813488,93,53.2,5.81,43.0,8.05
113,Codrington,0,AU,1604813488,75,-38.27,141.97,61.09,13.6
114,Pudozh,22,RU,1604813488,83,61.81,36.53,35.44,8.5
115,Kalevala,0,RU,1604813489,86,65.2,31.17,33.06,12.75
116,Dikson,99,RU,1604813489,92,73.51,80.55,-3.08,13.18
117,Katsuura,100,JP,1604813489,68,35.13,140.3,70.0,1.01
118,East London,0,ZA,1604813490,60,-33.02,27.91,69.8,12.75
119,Sakakah,40,SA,1604813490,55,29.97,40.21,62.6,9.17
120,Guerrero Negro,10,MX,1604813490,68,27.98,-114.06,62.64,13.62
121,Tasiilaq,98,GL,1604813456,88,65.61,-37.64,20.82,7.2
122,Iwanai,39,JP,1604813490,56,42.97,140.51,47.01,6.8
123,Venice of the Philippines,28,PH,1604813491,75,4.66,119.39,82.45,9.66
124,Provideniya,18,RU,1604813491,93,64.38,-173.3,27.23,7.94
125,Clyde River,90,CA,1604813491,59,70.47,-68.59,3.2,2.24
126,Corinth,75,GR,1604813491,55,37.94,22.96,60.8,9.17
127,Luanda,90,AO,1604813492,83,-8.84,13.23,78.8,3.36
128,Nome,90,US,1604813492,92,64.5,-165.41,30.2,3.36
129,Padang,100,ID,1604813493,80,-0.95,100.35,79.11,6.42
130,Nanortalik,100,GL,1604813493,97,60.14,-45.24,28.45,19.3
131,Sørland,99,NO,1604813493,73,67.67,12.69,42.04,16.51
132,Saint Anthony,1,US,1604813494,63,45.02,-93.22,63.0,17.22
133,George Town,20,MY,1604813295,70,5.41,100.34,87.8,8.05
134,Tazmalt,0,DZ,1604813494,51,36.39,4.4,62.6,5.82
135,Norman Wells,75,CA,1604813494,86,65.28,-126.83,28.4,6.93
136,Pangai,13,TO,1604813495,80,-19.8,-174.35,74.98,15.77
137,Maple Creek,100,CA,1604813495,100,49.92,-109.48,30.2,10.29
138,Ilebo,90,CD,1604813495,90,-4.32,20.58,71.8,0.49
139,Sawākin,28,SD,1604813496,67,19.11,37.33,83.66,6.08
140,Nikolskoye,90,RU,1604813456,81,59.7,30.79,44.6,8.95
141,Souillac,40,MU,1604813496,65,-20.52,57.52,78.8,19.46
142,Topolëvo,75,RU,1604813496,86,48.5,135.2,30.2,4.47
143,Tab,1,HU,1604813496,96,46.73,18.03,43.0,5.01
144,Kuah,20,MY,1604813497,74,6.33,99.84,87.8,4.7
145,Parabel',100,RU,1604813497,79,58.7,81.48,38.32,14.61
146,Fairbanks,90,US,1604813441,85,64.84,-147.72,21.99,3.36
147,Balassagyarmat,90,HU,1604813500,83,48.07,19.3,33.8,1.12
148,Jamestown,1,US,1604813501,57,42.1,-79.24,51.8,4.7
149,Chute-aux-Outardes,20,CA,1604813501,63,49.12,-68.4,30.2,4.7
150,Qaqortoq,100,GL,1604813501,86,60.72,-46.03,26.6,4.7
151,Carnarvon,32,AU,1604813402,61,-24.87,113.63,77.0,14.99
152,Umm Kaddadah,12,SD,1604813501,30,13.6,26.69,72.54,16.75
153,Nang Rong,20,TH,1604813502,65,14.64,102.79,82.99,16.11
154,Leh,0,IN,1604813502,38,34.17,77.58,39.31,2.57
155,Ponta do Sol,20,PT,1604813503,72,32.67,-17.1,63.0,5.82
156,Coyhaique,0,CL,1604813503,75,-45.58,-72.07,44.6,2.24
157,Ahipara,27,NZ,1604813503,78,-35.17,173.17,59.38,11.77
158,Vila Franca do Campo,75,PT,1604813503,76,37.72,-25.43,57.2,5.82
159,Lianzhou,0,CN,1604813504,42,24.78,112.38,76.33,10.33
160,Half Moon Bay,75,US,1604813249,71,37.46,-122.43,53.6,23.04
161,Chabahar,0,IR,1604813504,61,25.29,60.64,77.0,1.16
162,Winnemucca,90,US,1604813504,86,40.97,-117.74,33.8,11.41
163,Iqaluit,75,CA,1604813369,77,63.75,-68.51,6.8,4.7
164,Alice Springs,100,AU,1604813471,10,-23.7,133.88,95.0,14.99
165,Burns Lake,0,CA,1604813406,85,54.23,-125.75,17.6,1.12
166,Flinders,64,AU,1604813412,61,-34.58,150.86,66.0,5.82
167,Cururupu,7,BR,1604813460,89,-1.83,-44.87,77.07,4.85
168,Camacha,20,PT,1604813506,77,33.08,-16.33,66.2,6.93
169,Ixtapa,5,MX,1604813327,88,20.7,-105.2,78.01,2.21
170,Øksfjord,100,NO,1604813506,80,70.24,22.35,36.0,33.33
171,Emirdağ,0,TR,1604813506,60,39.02,31.15,44.49,5.41
172,Cabo San Lucas,1,MX,1604813225,83,22.89,-109.91,75.0,4.0
173,Ōme,75,JP,1604813507,46,35.78,139.24,72.0,1.86
174,Hithadhoo,13,MV,1604813493,68,-0.6,73.08,84.9,7.07
175,Forsytheganj,97,BY,1604813507,88,52.63,29.73,46.49,11.39
176,Torbay,90,CA,1604813396,69,47.67,-52.73,36.0,16.11
177,Faya,0,SA,1604813508,44,18.39,42.45,64.4,1.57
178,Mahajanga,0,MG,1604813508,48,-15.72,46.32,86.0,11.41
179,Navolato,5,MX,1604813425,83,24.77,-107.69,77.0,3.44
180,Sitka,1,US,1604813256,80,57.05,-135.33,33.8,6.93
181,Ust-Nera,25,RU,1604813509,81,64.57,143.2,-11.13,5.03
182,Bethel,1,US,1604813217,87,41.37,-73.41,53.01,3.6
183,Prieska,0,ZA,1604813510,44,-29.66,22.75,66.97,7.11
184,Freising,90,DE,1604813510,80,48.4,11.75,37.0,2.24
185,Sandovo,100,RU,1604813511,86,58.46,36.41,45.36,9.89
186,Berlevåg,95,NO,1604813511,74,70.86,29.09,39.24,32.3
187,San Patricio,20,US,1604813390,88,28.02,-97.52,72.0,9.17
188,High Level,90,CA,1604813440,92,58.52,-117.14,14.0,3.33
189,Ciudad Bolivar,86,VE,1604813512,88,8.12,-63.55,77.4,7.25
190,Duncan,1,US,1604813355,72,34.5,-97.96,62.01,11.41
191,Palu,99,ID,1604813512,68,-0.89,119.87,85.32,3.4
192,Tuy Hoa,94,VN,1604813512,77,13.08,109.3,78.69,17.2
193,Cherskiy,99,RU,1604813512,94,68.75,161.3,2.39,5.59
194,Kamenka,18,RU,1604813513,95,51.32,42.77,37.99,15.23
195,Dubbo,40,AU,1604813461,38,-32.25,148.62,75.2,10.29
196,Shenjiamen,0,CN,1604813516,66,29.96,122.3,65.19,19.33
197,Caruray,90,PH,1604813517,74,10.31,119.01,86.0,9.17
198,Kalmunai,82,LK,1604813517,61,7.42,81.82,87.17,8.16
199,Koutiala,0,ML,1604813517,22,12.39,-5.46,70.7,6.44
200,Gardanne,100,FR,1604813518,92,43.45,5.47,60.01,3.0
201,La Ronge,100,CA,1604813518,85,55.1,-105.28,17.6,12.75
202,Lorengau,77,PG,1604813487,62,-2.02,147.27,84.58,4.85
203,Skibotn,75,NO,1604813519,86,69.39,20.27,33.8,36.91
204,Chanthaburi,93,TH,1604813519,62,12.83,102.17,93.0,5.12
205,Oodweyne,46,SO,1604813521,26,9.41,45.06,75.96,10.96
206,Sept-Îles,2,CA,1604813414,68,50.2,-66.38,26.6,4.7
207,Aksu,0,CN,1604813521,34,41.12,80.26,54.0,0.22
208,Ténenkou,0,ML,1604813522,19,14.46,-4.92,73.62,9.4
209,Pemangkat,85,ID,1604813522,67,1.17,108.97,84.94,9.64
210,Bend,21,US,1604813522,79,44.06,-121.32,30.99,4.52
211,Houma,75,US,1604813522,94,29.6,-90.72,68.0,6.93
212,Paragominas,2,BR,1604813522,96,-2.97,-47.48,71.8,3.11
213,Gimli,100,CA,1604813274,94,50.63,-96.99,37.4,9.17
214,Bilibino,99,RU,1604813523,90,68.05,166.44,-0.69,1.39
215,Sistranda,75,NO,1604813523,81,63.73,8.83,42.8,9.17
216,Piteå,51,SE,1604813524,64,65.32,21.48,35.6,10.29
217,Bloomingdale,1,US,1604813430,73,27.89,-82.24,77.0,12.75
218,Enshi,0,CN,1604813423,41,30.3,109.48,72.28,1.12
219,Dubai,0,AE,1604813380,54,25.26,55.3,86.0,4.7
220,Naze,75,JP,1604813524,73,28.37,129.48,75.2,14.99
221,Orito,97,CO,1604813525,63,0.68,-76.88,75.02,2.39
222,Tura,0,IN,1604813480,52,25.52,90.22,81.68,1.25
223,Bonnyville,90,CA,1604813525,85,54.27,-110.73,21.2,14.99
224,Tromsø,75,NO,1604813526,86,69.65,18.96,33.8,36.91
225,Manaia,66,NZ,1604813526,87,-39.55,174.13,53.01,4.0
226,Vestmannaeyjar,95,IS,1604813526,66,63.44,-20.27,43.36,8.68
227,Nakasongola,100,UG,1604813527,97,1.31,32.46,65.05,4.99
228,Awjilah,0,LY,1604813527,82,29.11,21.29,60.62,7.2
229,Hong Kong,63,HK,1604813435,55,22.29,114.16,84.0,8.99
230,Constitución,0,CL,1604813528,73,-35.33,-72.42,56.25,7.23
231,Broome,1,US,1604813529,62,42.25,-75.83,53.6,5.82
232,Finnsnes,100,NO,1604813529,88,69.23,17.98,32.0,13.87
233,Nyanza,40,RW,1604813529,93,-2.35,29.75,64.4,3.36
234,Adrar,0,MR,1604813529,21,20.5,-10.07,77.59,7.11
235,Skibbereen,75,IE,1604813530,100,51.55,-9.27,51.8,10.29
236,Bambanglipuro,84,ID,1604813530,67,-7.95,110.28,85.05,12.86
237,Rawson,45,AR,1604813530,62,-43.3,-65.1,59.43,13.42
238,Hasaki,75,JP,1604813531,72,35.73,140.83,69.01,6.93
239,Bandarbeyla,42,SO,1604813531,72,9.49,50.81,79.27,13.69
240,Ancud,23,CL,1604813531,71,-41.87,-73.82,52.0,14.99
241,Aklavik,82,CA,1604813531,74,68.22,-135.01,30.2,6.93
242,Tondano,40,ID,1604813532,70,1.3,124.91,87.8,5.82
243,Kayiry,77,UA,1604813532,78,46.95,33.71,48.78,5.12
244,Sungai Penuh,97,ID,1604813532,85,-2.08,101.38,74.66,0.67
245,Hohhot,0,CN,1604813442,25,40.81,111.65,41.0,4.47
246,Cintalapa,100,MX,1604813536,91,16.7,-93.73,68.77,3.51
247,Görele,75,TR,1604813536,76,41.03,39.0,57.2,4.7
248,Muros,88,ES,1604813536,89,42.78,-9.06,57.0,18.01
249,Piro,0,IN,1604813537,34,25.33,84.42,81.52,3.33
250,Korla,0,CN,1604813537,81,41.76,86.15,48.99,8.14
251,Kutum,14,SD,1604813537,37,14.2,24.67,64.56,9.64
252,Burgos,90,ES,1604813538,81,42.34,-3.71,50.0,4.7
253,Port Lincoln,54,AU,1604813538,39,-34.73,135.87,69.26,13.15
254,Esperance,12,AU,1604813538,57,-33.87,121.9,77.0,10.29
255,Tuatapere,8,NZ,1604813538,65,-46.13,167.68,53.01,13.0
256,Meulaboh,78,ID,1604813539,71,4.14,96.13,84.51,6.64
257,Qasigiannguit,29,GL,1604813539,43,68.82,-51.19,12.2,9.17
258,Kiryat Gat,3,IL,1604813539,85,31.61,34.76,66.0,1.63
259,Vanimo,69,PG,1604813539,75,-2.67,141.3,82.9,3.4
260,Ugoofaaru,30,MV,1604813540,75,5.67,73.0,84.25,13.44
261,Lüshunkou,0,CN,1604813540,25,38.8,121.27,50.0,13.42
262,Farafangana,7,MG,1604813540,68,-22.82,47.83,79.3,8.5
263,Haines Junction,100,CA,1604813541,76,60.75,-137.51,-7.6,1.12
264,Cleveland,1,US,1604813513,54,41.5,-81.7,57.99,9.17
265,Kaohsiung City,40,TW,1604813526,65,22.62,120.31,82.4,6.93
266,Coihueco,0,CL,1604813541,71,-36.62,-71.83,57.2,8.05
267,Ulaangom,0,MN,1604813542,77,49.98,92.07,35.82,3.49
268,Galle,4,LK,1604813542,72,6.04,80.22,84.83,6.46
269,Wexford,100,IE,1604813543,93,52.33,-6.46,54.0,3.0
270,Kaniama,74,CD,1604813543,93,-7.57,24.18,70.56,3.6
271,Laas,5,IT,1604813543,44,46.62,10.7,41.0,4.7
272,Okhotsk,52,RU,1604813543,89,59.38,143.3,11.8,14.12
273,Tongren,0,CN,1604813342,36,27.72,109.19,72.23,9.06
274,Jagdalpur,0,IN,1604813544,37,19.07,82.03,77.99,8.48
275,Mil'kovo,2,RU,1604813544,88,54.72,158.62,25.47,3.13
276,Novy Urengoy,100,RU,1604813544,99,66.08,76.63,28.78,4.03
277,Solnechnyy,52,RU,1604813545,82,50.72,136.63,22.46,5.93
278,Moose Jaw,68,CA,1604813545,86,50.4,-105.53,30.2,8.05
279,Westport,1,US,1604813389,81,41.14,-73.36,54.0,4.36
280,Shetpe,71,KZ,1604813545,68,44.17,52.12,44.33,16.55
281,Fallon,90,US,1604813546,93,39.47,-118.78,39.99,4.7
282,Puerto Nariño,90,CO,1604813546,100,-3.77,-70.38,75.2,2.24
283,Riyadh,0,SA,1604813337,35,24.69,46.72,69.8,3.36
284,Elliot Lake,1,CA,1604813546,76,46.38,-82.63,51.8,5.82
285,Viedma,100,AR,1604813397,89,-40.81,-63.0,55.99,1.01
286,Chokurdakh,100,RU,1604813547,94,70.63,147.92,-0.71,2.28
287,Noumea,90,NC,1604813547,57,-22.28,166.46,78.8,10.29
288,San Francisco,20,US,1604813030,76,37.77,-122.42,54.0,18.34
289,Zhangaözen,59,KZ,1604813548,61,43.3,52.8,47.41,16.42
290,Cabra,0,ES,1604813548,100,37.47,-4.44,54.0,8.05
291,El Bagre,100,CO,1604813548,95,7.59,-74.81,74.08,0.31
292,Anchorage,90,US,1604813350,79,61.22,-149.9,26.6,8.05
293,Inuvik,52,CA,1604813462,74,68.35,-133.72,30.2,6.93
294,Geraldton,42,AU,1604813552,53,-28.77,114.6,75.2,11.41
295,Praia,0,CV,1604813552,78,14.92,-23.51,77.0,13.87
296,Woodward,1,US,1604813552,67,36.43,-99.39,59.0,25.28
297,Kaitangata,0,NZ,1604813552,51,-46.28,169.85,52.5,8.48
298,Riachão das Neves,21,BR,1604813552,91,-11.75,-44.91,68.79,2.42
299,Mar del Plata,90,AR,1604813553,93,-38.0,-57.56,60.8,3.36
300,Chebarkul',59,RU,1604813553,85,54.97,60.36,34.36,13.51
301,Tomatlán,69,MX,1604813553,94,19.93,-105.25,71.71,1.83
302,Mandan,1,US,1604813553,100,46.83,-100.89,39.2,8.05
303,Genhe,20,CN,1604813554,82,50.78,121.52,18.28,6.38
304,Mbouda,98,CM,1604813554,82,5.63,10.26,62.94,2.17
305,Vieques,20,PR,1604813554,88,18.43,-65.83,78.8,8.52
306,Banda Aceh,45,ID,1604813554,69,5.56,95.32,83.82,5.77
307,Chui,0,UY,1604813464,94,-33.7,-53.46,58.44,5.88
308,Djibo,0,BF,1604813555,20,14.1,-1.63,74.34,9.48
309,Jipijapa,90,EC,1604813555,83,-1.33,-80.58,73.4,10.29
310,Margate,34,GB,1604813555,66,51.38,1.39,53.01,9.69
311,Salalah,0,OM,1604813361,48,17.02,54.09,82.4,2.24
312,Chernihiv,53,UA,1604813556,96,51.0,32.0,43.0,8.55
313,Cidreira,71,BR,1604813556,86,-30.18,-50.21,67.51,13.04
314,Mindelo,75,CV,1604813557,78,16.89,-24.98,77.0,20.8
315,Nelson Bay,51,AU,1604813557,45,-32.72,152.15,66.2,11.41
316,Rafai,57,CF,1604813557,87,4.95,23.92,73.08,0.38
317,Bagulā,0,IN,1604813558,40,23.32,88.65,83.93,7.47
318,Kaka,90,TM,1604813558,55,37.35,59.61,62.47,8.7
319,Shenzhen,85,CN,1604813347,56,22.55,114.07,84.0,10.92
320,Kolomna,90,RU,1604813558,93,55.08,38.78,48.2,8.95
321,Agadez,4,NE,1604813559,49,19.75,10.25,60.87,10.92
322,Uyuni,89,BO,1604813559,63,-20.46,-66.83,47.12,8.86
323,Jalpan,59,MX,1604813559,77,21.23,-99.48,64.06,2.15
324,Ilulissat,7,GL,1604813555,43,69.22,-51.1,12.2,9.17
325,Vilhena,65,BR,1604813560,68,-12.74,-60.15,73.89,3.15
326,Isangel,21,VU,1604813560,80,-19.55,169.27,78.6,12.46
327,Samarinda,100,ID,1604813560,79,-0.5,117.15,85.48,2.19
328,Manokwari,97,ID,1604813415,77,-0.87,134.08,82.99,14.63
329,Mažeikiai,95,LT,1604813561,91,56.32,22.33,48.0,4.0
330,Pankrushikha,59,RU,1604813561,57,53.83,80.34,44.38,15.64
331,Port Hardy,5,CA,1604813561,60,50.7,-127.42,44.6,13.87
332,Magaria,1,NE,1604813562,30,13.0,8.91,67.82,8.43
333,Butaritari,84,KI,1604813387,68,3.07,172.79,81.91,7.9
334,Stranda,100,NO,1604813562,96,62.31,6.94,42.01,1.01
335,Ustynivka,90,UA,1604813563,87,47.96,32.54,44.6,6.71
336,Tarko-Sale,100,RU,1604813563,94,64.92,77.78,32.0,9.84
337,Devonport,0,AU,1604813507,59,-41.17,146.35,63.0,7.0
338,Yangi Marg`ilon,0,UZ,1604813563,18,40.43,71.72,60.8,5.21
339,Oktyabr'skoye,75,RU,1604813564,87,43.06,44.74,42.8,4.47
340,Barra de Tecoanapa,50,MX,1604813564,84,16.52,-98.75,77.0,4.0
341,Bānposh,0,IN,1604813564,37,22.25,84.8,78.75,5.01
342,Pontianak,83,ID,1604813565,70,-0.03,109.33,86.25,5.86
343,Pevek,95,RU,1604813568,96,69.7,170.31,11.66,4.99
344,Strezhevoy,90,RU,1604813568,99,60.73,77.59,33.8,8.95
345,Saýat,100,TM,1604813568,50,38.78,63.88,57.2,9.17
346,Havre-St-Pierre,1,CA,1604813568,85,50.23,-63.6,21.2,3.6
347,Vokhtoga,69,RU,1604813569,73,58.81,41.05,41.49,11.41
348,Bertoua,99,CM,1604813569,90,4.58,13.68,68.72,2.21
349,Nicoya,75,CR,1604813569,100,10.15,-85.45,75.2,2.24
350,Lavrentiya,7,RU,1604813510,94,65.58,-171.0,27.01,4.97
351,Sinnamary,23,GF,1604813570,85,5.38,-52.95,77.5,13.69
352,Eyl,78,SO,1604813570,61,7.98,49.82,82.96,14.56
353,Zeya,17,RU,1604813571,78,53.75,127.27,13.53,8.03
354,Manzanillo,100,CU,1604813572,89,20.34,-77.12,75.54,11.68
355,Porto-Novo,20,BJ,1604813465,83,6.5,2.6,78.8,2.24
356,Colesberg,0,ZA,1604813572,31,-30.72,25.1,69.66,13.13
357,Rabo de Peixe,75,PT,1604813572,76,37.8,-25.58,57.2,5.82
358,Lucea,90,JM,1604813572,88,18.45,-78.17,78.01,3.36
359,Catalina,21,US,1604813573,46,32.51,-110.92,60.01,4.0
360,Sur,0,OM,1604813474,49,22.57,59.53,83.5,4.81
361,Gao,0,ML,1604813573,25,16.64,1.64,69.66,14.88
362,Imbituba,75,BR,1604813573,94,-28.24,-48.67,68.0,5.82
363,Yatou,0,CN,1604813574,48,37.15,122.38,49.73,17.18
364,Sturgis,1,US,1604813574,66,41.8,-85.42,52.0,7.74
365,Champerico,99,GT,1604813574,97,14.3,-91.92,68.0,9.44
366,Buritizeiro,71,BR,1604813575,87,-17.35,-44.96,70.59,1.16
367,Broken Hill,0,AU,1604813575,15,-31.95,141.43,82.4,11.41
368,Teya,100,RU,1604813575,80,60.38,92.63,37.29,12.82
369,Gravdal,95,NO,1604813575,68,68.12,13.5,41.29,14.92
370,Kavaratti,20,IN,1604813576,79,10.57,72.64,86.0,4.7
371,Halifax,83,CA,1604813576,81,44.65,-63.57,46.0,5.82
372,Vamvakoú,75,GR,1604813576,71,39.33,22.42,55.4,6.93
373,Garissa,59,KE,1604813576,59,-0.45,39.64,83.64,13.06
374,Amposta,0,ES,1604813577,90,40.71,0.58,48.0,4.34
