,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
93,Tual,100,ID,1604804935,73,-5.67,132.75,82.44,12.82
94,Dashitou,66,CN,1604805059,78,43.31,128.51,30.18,23.82
95,Isla Vista,40,US,1604805059,62,34.41,-119.86,52.0,10.29
96,Kapaa,75,US,1604805059,83,22.08,-159.32,80.6,12.75
97,Crestview,1,US,1604804949,83,30.76,-86.57,72.0,4.7
98,Korla,0,CN,1604805063,48,41.76,86.15,43.88,4.32
99,Saint-Philippe,0,RE,1604805063,64,-21.36,55.77,71.6,4.7
100,Cockburn Town,100,TC,1604804892,80,21.46,-71.14,79.54,21.14
101,Jinchang,0,CN,1604805063,33,38.5,102.17,50.83,1.19
102,Klaksvík,82,FO,1604805064,81,62.23,-6.59,42.8,8.05
103,Guerrero Negro,0,MX,1604805064,66,27.98,-114.06,63.46,16.17
104,Portales,75,US,1604805064,63,34.19,-103.33,60.8,20.8
105,Yellowknife,75,CA,1604805064,84,62.46,-114.35,6.8,3.91
106,Manokwari,100,ID,1604805064,73,-0.87,134.08,84.09,6.55
107,Rewa,0,IN,1604805065,30,24.53,81.3,70.41,3.87
108,Bud,1,US,1604805065,62,39.45,-86.18,57.2,3.36
109,Kibaya,92,TZ,1604805065,91,-5.3,36.57,60.28,5.5
110,Toamasina,75,MG,1604805065,94,-18.17,49.38,69.8,3.36
111,Port Elizabeth,0,ZA,1604804967,93,-33.92,25.57,59.0,4.7
112,Sistranda,75,NO,1604805066,87,63.73,8.83,42.8,11.41
113,Torbay,90,CA,1604805066,80,47.67,-52.73,36.0,12.75
114,Coyhaique,0,CL,1604804891,66,-45.58,-72.07,50.0,3.36
115,Anadyr,40,RU,1604804986,85,64.75,177.48,19.4,4.47
116,Grand Gaube,24,MU,1604805066,87,-20.01,57.66,71.01,8.99
117,Atambua,37,ID,1604805066,40,-9.11,124.89,89.51,1.28
118,Arrecife,0,ES,1604805067,77,28.96,-13.55,62.6,5.82
119,Nikolayevsk-on-Amur,98,RU,1604805067,87,53.14,140.73,24.49,8.99
120,Isangel,27,VU,1604805067,75,-19.55,169.27,80.62,8.75
121,Sol'vychegodsk,96,RU,1604805067,76,61.33,46.92,40.21,14.99
122,Cape Town,75,ZA,1604804932,93,-33.93,18.42,59.0,16.11
123,Houma,90,US,1604804986,100,29.6,-90.72,68.0,16.11
124,Barrow,90,US,1604804834,92,71.29,-156.79,30.2,18.34
125,Sadon,39,RU,1604805068,87,42.85,44.0,44.6,4.47
126,Kāndri,0,IN,1604805069,59,21.42,79.27,64.4,2.24
127,Saquena,98,PE,1604805069,96,-4.67,-73.52,72.88,2.57
128,Jieshi,99,CN,1604805069,59,22.81,115.83,78.01,1.01
129,Si Sa Ket,1,TH,1604805069,63,14.83,104.33,82.99,11.97
130,Lagoa,28,PT,1604805070,72,39.05,-27.98,61.09,15.17
131,Saint Paul Harbor,90,US,1604804952,87,57.79,-152.41,46.4,14.99
132,Tuatapere,8,NZ,1604804983,57,-46.13,167.68,54.0,10.0
133,Owando,88,CG,1604805070,98,-0.48,15.9,70.02,2.19
134,Pangnirtung,93,CA,1604805070,83,66.15,-65.71,4.32,3.31
135,Zaysan,0,KZ,1604805071,54,47.47,84.87,43.92,2.1
136,Vaini,20,TO,1604804935,74,-21.2,-175.2,80.6,9.17
137,Hobyo,32,SO,1604805071,79,5.35,48.53,79.27,10.58
138,Port Lincoln,81,AU,1604805071,53,-34.73,135.87,67.19,17.2
139,Codrington,0,AU,1604805071,67,-38.27,141.97,63.05,10.65
140,Ussel,100,FR,1604805072,95,45.55,2.32,51.15,4.65
141,Kamenka,0,RU,1604805072,94,51.32,42.77,35.01,10.98
142,Bontang,100,ID,1604805072,78,0.13,117.5,80.87,1.36
143,Morro Bay,1,US,1604805072,84,35.37,-120.85,55.99,4.0
144,Al Bardīyah,10,LY,1604805072,76,31.76,25.09,67.32,17.65
145,Hermanus,85,ZA,1604805073,78,-34.42,19.23,60.01,1.99
146,Puerto Ayora,18,EC,1604805073,82,-0.74,-90.35,69.01,5.01
147,Novosokol'niki,100,RU,1604805076,86,56.35,30.16,48.61,10.29
148,Peno,100,RU,1604805076,88,56.93,32.74,49.15,12.03
149,Yulara,32,AU,1604805076,7,-25.24,130.99,91.4,8.05
150,Tselinnoye,25,RU,1604805077,82,53.08,85.67,36.99,7.43
151,Mangan,0,IN,1604805077,22,27.52,88.53,74.84,2.8
152,Saldanha,64,ZA,1604805077,87,-33.01,17.94,59.0,8.05
153,Santoña,0,ES,1604805077,52,43.44,-3.46,66.2,12.75
154,San Quintín,0,MX,1604805078,66,30.48,-115.95,61.29,17.92
155,Kieta,96,PG,1604805078,71,-6.22,155.63,83.77,3.67
156,Tailai,0,CN,1604805078,70,46.38,123.4,32.29,18.14
157,Narganá,45,PA,1604805078,83,9.44,-78.59,77.76,13.2
158,Katangli,95,RU,1604805078,86,51.71,143.23,28.4,11.14
159,Moundou,25,TD,1604805078,40,8.57,16.08,70.81,2.73
160,Mweka,100,CD,1604805079,98,-4.85,21.57,65.64,1.68
161,Sung Noen,10,TH,1604805079,73,14.9,101.82,77.0,12.75
162,Upernavik,36,GL,1604804936,78,72.79,-56.15,1.18,7.96
163,Shanhecun,30,CN,1604805080,81,44.7,127.2,32.56,19.17
164,Albion,1,US,1604804922,62,42.24,-84.75,55.4,3.36
165,Kochi,20,IN,1604804997,83,9.94,76.26,80.6,4.7
166,Hithadhoo,19,MV,1604805080,70,-0.6,73.08,84.18,7.27
167,Bengkulu,99,ID,1604805080,63,-3.8,102.27,84.7,3.51
168,Lebu,0,CL,1604805081,85,-37.62,-73.65,52.57,20.29
169,Sambava,100,MG,1604805081,86,-14.27,50.17,75.96,7.56
170,Husavik,90,IS,1604805081,56,66.04,-17.34,42.8,12.75
171,Chancay,0,PE,1604805082,82,-11.57,-77.27,62.6,6.93
172,Sompeta,0,IN,1604805082,57,18.93,84.6,77.09,6.55
173,Antsohihy,59,MG,1604805082,66,-14.88,47.99,76.75,6.53
174,Kahului,20,US,1604805010,55,20.89,-156.47,87.8,18.34
175,Prince Rupert,1,CA,1604804796,64,54.32,-130.32,41.0,10.29
176,Pisco,90,PE,1604805083,88,-13.7,-76.22,62.6,11.41
177,Chake Chake,17,TZ,1604805083,83,-5.25,39.77,77.11,4.14
178,Chernukha,94,RU,1604805083,91,55.6,43.76,38.86,13.29
179,Dovbysh,1,UA,1604805083,96,50.37,27.99,41.52,5.48
180,Kashary,0,RU,1604805084,90,49.04,41.01,40.06,7.7
181,Shimoda,75,JP,1604805084,68,34.67,138.95,68.0,3.36
182,Srednekolymsk,84,RU,1604805084,92,67.45,153.68,-2.69,7.63
183,Luganville,75,VU,1604805084,74,-15.53,167.17,84.2,9.17
184,Marabu,40,MY,1604805084,74,4.41,114.01,86.0,4.7
185,Ponta do Sol,20,PT,1604805084,82,32.67,-17.1,63.0,3.36
186,Lodja,90,CD,1604805085,96,-3.48,23.43,66.16,0.96
187,Norman Wells,75,CA,1604804968,92,65.28,-126.83,28.4,3.36
188,Clyde River,1,CA,1604805085,59,70.47,-68.59,-0.4,6.93
189,Touros,75,BR,1604805085,78,-5.2,-35.46,80.6,9.17
190,Tungor,96,RU,1604805085,88,53.38,142.96,27.61,13.49
191,Pedasí,0,PA,1604805085,80,7.53,-80.03,76.73,9.89
192,Bethel,1,US,1604804938,81,41.37,-73.41,55.99,3.53
193,Tenkodogo,66,BF,1604805086,24,11.78,-0.37,74.62,7.49
194,Marsá Maţrūḩ,40,EG,1604805086,72,31.35,27.25,68.0,13.87
195,Portland,75,US,1604804631,81,45.52,-122.68,42.8,9.17
196,Kirakira,51,SB,1604805089,77,-10.45,161.92,83.62,6.91
197,Cabedelo,75,BR,1604805090,83,-6.98,-34.83,78.8,10.29
198,Leningradskiy,100,RU,1604805090,95,69.38,178.42,18.07,8.46
199,Silopi,1,TR,1604805090,54,37.25,42.47,58.95,3.56
200,Morón,0,AR,1604805090,81,-34.65,-58.62,69.01,5.01
201,Evensk,77,RU,1604805090,89,61.95,159.23,13.1,10.27
202,Inírida,100,CO,1604805090,96,3.87,-67.92,75.33,2.84
203,Hasaki,40,JP,1604805091,73,35.73,140.83,71.01,9.17
204,Vestmannaeyjar,100,IS,1604805091,65,63.44,-20.27,43.95,16.58
205,Haines Junction,100,CA,1604805091,83,60.75,-137.51,-9.4,1.12
206,Abu Samrah,0,SY,1604805091,64,35.3,37.18,58.71,7.18
207,Saint-Pierre,0,RE,1604805091,57,-21.34,55.48,75.2,3.36
208,Ciudad Bolivar,85,VE,1604805092,83,8.12,-63.55,79.03,7.49
209,Sabzawār,93,IR,1604804830,36,36.21,57.68,52.07,1.21
210,Port Keats,0,AU,1604805092,32,-14.25,129.55,98.44,5.06
211,Kimbe,90,PG,1604805092,66,-5.55,150.14,86.74,5.17
212,Xincheng,0,CN,1604805092,25,33.63,115.18,65.59,7.63
213,Itajubá,9,BR,1604805092,84,-22.43,-45.45,62.89,2.51
214,Sørland,98,NO,1604805093,67,67.67,12.69,41.4,14.97
215,Killybegs,100,IE,1604805093,95,54.63,-8.45,51.01,5.01
216,San Buenaventura,0,MX,1604805093,60,27.08,-101.53,66.6,1.14
217,Aksu,0,CN,1604805093,45,41.12,80.26,46.83,2.19
218,Churapcha,99,RU,1604805094,89,62.0,132.43,-6.65,5.99
219,Barcelos,75,PT,1604805094,82,41.54,-8.62,62.6,23.04
220,Xingtai,0,CN,1604805094,31,37.06,114.49,55.38,5.37
221,Meulaboh,71,ID,1604804945,68,4.14,96.13,84.69,0.96
222,Boa Vista,40,BR,1604804888,88,2.82,-60.67,77.0,4.7
223,Neiafu,40,TO,1604805094,69,-18.65,-173.98,78.8,9.17
224,Puerto Escondido,74,MX,1604805095,77,15.85,-97.07,79.68,2.86
225,Alofi,29,NU,1604805095,69,-19.06,-169.92,80.6,12.75
226,Zhezkazgan,75,KZ,1604805095,75,47.8,67.71,41.0,17.9
227,Ovsyanka,0,RU,1604805096,61,55.96,92.55,46.4,13.42
228,Raudeberg,100,NO,1604805096,100,61.99,5.14,46.4,2.24
229,Wahiawā,75,US,1604805096,69,21.5,-158.02,86.0,10.29
230,Matara,17,LK,1604805096,74,5.95,80.54,82.96,3.56
231,Noyabrsk,100,RU,1604805096,98,63.2,75.45,33.62,12.17
232,Marystown,26,CA,1604805096,100,47.17,-55.15,41.0,1.01
233,Ponta Delgada,20,PT,1604805097,71,37.73,-25.67,57.2,4.7
234,Nikolskoye,75,RU,1604804940,81,59.7,30.79,46.4,13.42
235,Dhārchula,0,IN,1604805097,29,29.85,80.53,63.55,1.77
236,Puyang,0,CN,1604805097,35,29.46,119.89,68.7,6.35
237,Longyearbyen,75,SJ,1604805097,86,78.22,15.64,30.2,5.01
238,Bongandanga,94,CD,1604805098,97,1.5,21.05,67.98,0.58
239,Tuktoyaktuk,75,CA,1604805098,85,69.45,-133.04,24.8,18.34
240,Anaco,16,VE,1604805098,91,9.44,-64.47,74.93,7.49
241,Pak Phanang,20,TH,1604805098,84,8.35,100.2,86.0,4.7
242,Genhe,0,CN,1604805099,85,50.78,121.52,16.0,4.43
243,Knysna,0,ZA,1604805099,87,-34.04,23.05,57.2,3.36
244,Sitka,1,US,1604804930,86,57.05,-135.33,33.8,6.93
245,Oktyabr'skiy,96,RU,1604805102,90,54.48,53.47,33.48,10.29
246,Grindavik,40,IS,1604805103,65,63.84,-22.43,39.2,13.87
247,Quelimane,0,MZ,1604805103,83,-17.88,36.89,78.01,8.05
248,Fortuna,75,US,1604805103,93,40.6,-124.16,51.01,10.29
249,Boromlya,31,UA,1604805103,95,50.62,34.97,42.44,10.54
250,Tura,0,IN,1604805103,64,25.52,90.22,75.63,1.68
251,Sumy,29,UA,1604805104,95,50.92,34.8,42.69,10.29
252,Kavaratti,1,IN,1604805104,72,10.57,72.64,83.17,6.35
253,Beya,12,RU,1604805104,74,53.05,90.91,39.29,3.74
254,Quzhou,0,CN,1604805104,35,28.96,118.87,70.21,8.52
255,Canutama,44,BR,1604805105,90,-6.53,-64.38,75.06,0.38
256,Ribeira Grande,19,PT,1604805105,70,38.52,-28.7,61.18,15.41
257,Gloggnitz,0,AT,1604805024,88,47.67,15.94,45.0,4.23
258,Sørkjosen,100,NO,1604805105,89,69.8,20.93,33.57,28.03
259,Nhulunbuy,75,AU,1604805105,59,-12.23,136.77,89.6,13.87
260,Oriximiná,51,BR,1604805105,87,-1.77,-55.87,77.4,2.59
261,Fort Nelson,20,CA,1604805106,84,58.81,-122.7,8.6,1.54
262,Dunedin,2,NZ,1604804830,57,-45.87,170.5,49.8,13.94
263,Rong Kwang,75,TH,1604805106,74,18.34,100.32,82.4,4.7
264,Nizhniy Kuranakh,100,RU,1604805106,90,58.84,125.49,3.49,6.53
265,Bac Lieu,43,VN,1604805106,75,9.29,105.72,83.57,9.31
266,Richards Bay,0,ZA,1604805107,88,-28.78,32.04,72.84,4.0
267,São Miguel do Araguaia,98,BR,1604805107,66,-13.28,-50.16,76.57,3.6
268,Asău,0,RO,1604805107,87,46.43,26.4,42.01,4.65
269,Mirzāpur,0,IN,1604805107,77,25.15,82.58,64.4,4.7
270,Jiuquan,0,CN,1604805107,34,39.74,98.52,49.48,5.14
271,Arrondissement de Rodez,75,FR,1604805108,93,44.5,2.58,55.99,2.24
272,Yarmouth,1,US,1604805108,76,41.71,-70.23,59.0,4.7
273,Nova Russas,0,BR,1604805108,54,-4.71,-40.56,79.12,6.76
274,Alyangula,40,AU,1604805108,63,-13.85,136.42,93.2,9.17
275,Talnakh,75,RU,1604805108,85,69.49,88.4,19.4,22.37
276,Zhigansk,50,RU,1604805109,88,66.77,123.37,-13.59,4.68
277,Tānsen,0,NP,1604804960,73,27.87,83.55,62.02,1.9
278,Kachīry,100,KZ,1604805109,76,53.07,76.1,42.4,12.88
279,Okha,100,RU,1604805109,87,53.57,142.95,28.17,15.55
280,Bandar-e Anzali,100,IR,1604805109,79,37.47,49.46,59.14,5.86
281,Rørvik,93,NO,1604805110,64,64.86,11.24,44.73,17.72
282,Luwuk,100,ID,1604805110,50,-0.95,122.79,87.01,8.55
283,Ormara,0,PK,1604805110,42,25.21,64.64,77.79,3.78
284,Muros,89,ES,1604805110,87,42.78,-9.06,62.01,15.01
285,College,90,US,1604805111,85,64.86,-147.8,23.0,4.7
286,Derzhavīnsk,97,KZ,1604805111,81,51.1,66.32,38.89,20.15
287,Chingirlau,42,KZ,1604805111,93,51.09,54.08,33.39,12.41
288,Kutum,14,SD,1604805111,40,14.2,24.67,61.05,5.95
289,Ahipara,55,NZ,1604805112,80,-35.17,173.17,60.04,10.69
290,Yilan,75,TW,1604804856,88,24.76,121.75,73.0,13.87
291,Bubaque,0,GW,1604805112,79,11.28,-15.83,84.76,10.71
292,Lubango,100,AO,1604805112,35,-14.92,13.49,63.05,2.35
293,Inhambane,0,MZ,1604805112,86,-23.86,35.38,77.11,10.89
294,Nantucket,1,US,1604805116,87,41.28,-70.1,57.2,10.29
295,Arraial do Cabo,93,BR,1604804947,81,-22.97,-42.03,72.1,8.77
296,Qandala,0,SO,1604805116,62,11.47,49.87,77.4,4.94
297,Thinadhoo,42,MV,1604805116,70,0.53,72.93,84.27,7.36
298,San Vicente,0,AR,1604805117,48,-26.62,-54.13,66.61,1.32
299,Broken Hill,0,AU,1604805117,20,-31.95,141.43,77.0,12.75
300,Coxim,0,BR,1604804988,46,-18.51,-54.76,82.4,3.38
301,Belyy Yar,57,RU,1604805117,92,53.6,91.39,26.6,4.12
302,São Filipe,82,CV,1604804928,77,14.9,-24.5,79.0,7.81
303,Byron Bay,90,AU,1604805118,56,-28.65,153.62,70.0,17.22
304,Mahenge,59,TZ,1604805118,98,-8.68,36.72,63.5,0.94
305,Belomorsk,0,RU,1604805118,81,64.52,34.77,35.13,15.14
306,Pandan,100,PH,1604805118,70,14.05,124.17,84.43,6.29
307,Dikson,100,RU,1604805118,91,73.51,80.55,-1.79,13.4
308,Acapulco de Juárez,20,MX,1604805119,78,16.86,-99.89,82.4,5.82
309,Thompson,90,CA,1604805119,85,55.74,-97.86,15.8,6.93
310,Paamiut,84,GL,1604805119,88,61.99,-49.67,26.76,30.6
311,Mapastepec,29,MX,1604805119,80,15.43,-92.9,76.78,3.83
312,Manicoré,68,BR,1604805104,91,-5.81,-61.3,76.1,2.04
313,Roald,100,NO,1604805120,93,62.58,6.13,43.0,3.36
314,Port Blair,3,IN,1604805120,74,11.67,92.75,84.16,11.3
315,Harper,50,LR,1604805120,86,4.38,-7.72,78.15,5.93
316,Natchitoches,40,US,1604805120,93,31.77,-93.13,66.2,4.7
317,Bar Harbor,1,US,1604805120,87,44.39,-68.2,51.01,4.16
318,Ilulissat,4,GL,1604805121,43,69.22,-51.1,14.0,11.41
319,Alexandria,40,EG,1604805121,93,31.22,29.96,60.8,4.7
320,Brae,23,GB,1604805121,100,60.4,-1.35,42.8,1.12
321,Vardø,60,NO,1604805121,78,70.37,31.11,39.4,36.82
322,Xingyi,76,CN,1604805121,76,24.19,102.82,57.81,3.96
323,Severo-Kuril'sk,20,RU,1604804975,77,50.68,156.12,36.77,5.99
324,Ust-Nera,27,RU,1604805122,82,64.57,143.2,-6.41,5.35
325,Catalão,44,BR,1604805122,60,-18.17,-47.95,73.29,6.35
326,Kasongo-Lunda,100,CD,1604805122,93,-6.47,16.82,70.25,0.98
327,Metro,36,ID,1604805122,66,-5.11,105.31,85.14,4.23
328,Slavsk,54,RU,1604805123,95,55.04,21.68,44.73,6.62
329,Adré,0,TD,1604805123,35,13.47,22.2,66.83,11.43
330,Salinópolis,46,BR,1604804931,81,-0.61,-47.36,80.96,13.56
331,Dondo,20,MZ,1604805123,88,-19.61,34.74,73.4,2.24
332,Nuuk,98,GL,1604805123,73,64.18,-51.72,21.2,14.99
333,Kununurra,75,AU,1604805124,36,-15.77,128.73,93.2,8.05
334,Wanning,41,CN,1604805124,71,18.8,110.4,79.14,15.97
335,Kungurtug,27,RU,1604805124,91,50.6,97.52,30.11,1.79
336,Tynda,51,RU,1604805124,84,55.17,124.72,3.43,6.62
337,Hermosillo,5,MX,1604805101,54,29.07,-110.97,80.6,12.75
338,Adrar,0,MR,1604805125,21,20.5,-10.07,80.13,8.5
339,Malbork,0,PL,1604804983,100,54.04,19.03,42.01,5.95
340,Boguchany,100,RU,1604805125,94,58.38,97.45,39.6,7.34
341,La Tuque,100,CA,1604805125,70,47.43,-72.78,44.6,8.05
342,Maragogi,25,BR,1604805125,82,-9.01,-35.22,76.77,10.45
343,Lárdos,20,GR,1604805128,72,36.09,28.02,66.0,4.7
344,Manbij,0,SY,1604805129,76,36.53,37.95,48.2,8.12
345,Pochutla,62,MX,1604805129,84,15.74,-96.47,80.01,2.53
346,Trairi,74,BR,1604805129,78,-3.28,-39.27,79.32,12.06
347,Örnsköldsvik,0,SE,1604805129,79,63.29,18.72,32.0,11.41
348,Akdepe,90,TM,1604805129,87,42.06,59.38,48.2,6.93
349,Sept-Îles,2,CA,1604805130,68,50.2,-66.38,26.6,3.36
350,Mocuba,0,MZ,1604805130,57,-16.84,36.99,74.75,4.45
351,Makakilo City,40,US,1604805130,58,21.35,-158.09,86.0,8.05
352,Otane,59,NZ,1604804939,71,-39.88,176.63,57.58,12.62
353,Lerwick,19,GB,1604805131,100,60.15,-1.15,42.8,1.12
354,Kumluca,0,TR,1604804933,34,36.37,30.29,64.74,7.47
355,Taoudenni,16,ML,1604805131,18,22.68,-3.98,77.5,9.17
356,Kavieng,36,PG,1604804965,65,-2.57,150.8,85.01,3.27
357,San Patricio,20,US,1604804949,94,28.02,-97.52,72.0,12.75
358,Sur,0,OM,1604805131,62,22.57,59.53,77.45,4.05
359,Hope,0,US,1604804981,75,33.67,-93.59,64.99,5.46
360,Waingapu,67,ID,1604805132,45,-9.66,120.26,90.34,10.04
361,Khovd,17,MN,1604805132,78,48.01,91.64,34.12,1.12
362,Niesky,0,DE,1604805132,84,51.29,14.82,42.01,5.01
363,Galle,8,LK,1604805132,77,6.04,80.22,82.24,4.47
364,Whitehorse,40,CA,1604805132,84,60.72,-135.05,10.0,18.34
365,Mahbūbnagar,0,IN,1604805133,53,16.73,77.98,73.96,9.82
366,Berbera,44,SO,1604805133,78,10.44,45.01,75.65,3.56
367,Andros Town,90,BS,1604805133,94,24.7,-77.77,73.4,12.75
368,Serpa,75,PT,1604805133,93,37.95,-7.6,59.0,8.05
369,Lorengau,100,PG,1604804944,60,-2.02,147.27,85.17,5.88
370,Kaohsiung City,75,TW,1604805134,73,22.62,120.31,77.0,5.82
371,Tunceli,0,TR,1604805134,93,39.11,39.55,39.2,4.7
372,Bathsheba,40,BB,1604805135,83,13.22,-59.52,80.6,20.8
373,St. George's,20,GD,1604805068,83,12.06,-61.75,82.4,18.34
